state,year,smoking_ban,lung_cancer_rate,gdp_per_capita,population_density,urban_area,healthcare_spending
1,0,0,55.34791496900486,6,16,0,0
1,1,0,55.36102237461186,6,16,0,0
1,2,0,53.661790728522064,6,16,0,0
1,3,0,51.55650271060216,6,16,0,0
1,4,0,55.802848385296855,6,16,0,0
1,5,0,54.3697586828574,6,16,0,0
1,6,0,53.72414682579301,6,16,0,0
1,7,0,52.52029387330591,6,16,0,0
1,8,0,54.00390512970578,6,16,0,0
1,9,0,56.36125312716248,6,16,0,0
2,0,0,51.06584937772281,3,12,1,0
2,1,0,52.00971281694984,3,12,1,0
2,2,0,47.31631671756231,3,12,1,0
2,3,0,45.65877559993167,3,12,1,0
2,4,0,53.190910564633626,3,12,1,0
2,5,0,50.65367049879442,3,12,1,0
2,6,0,51.92570132138368,3,12,1,0
2,7,0,47.34752476694657,3,12,1,0
2,8,0,51.01049875512677,3,12,1,0
2,9,0,50.64504552957368,3,12,1,0
3,0,0,53.2939527061037,4,5,1,1
3,1,0,53.08916185424646,4,5,1,1
3,2,0,50.56979572776046,4,5,1,1
3,3,1,53.11651998789339,4,5,1,1
3,4,1,58.87363705240742,4,5,1,1
3,5,1,58.13148335547245,4,5,1,1
3,6,1,57.38800893595285,4,5,1,1
3,7,1,53.872242216458616,4,5,1,1
3,8,1,55.62343989072368,4,5,1,1
3,9,1,57.70721625558593,4,5,1,1
4,0,0,50.99553762627452,6,8,0,0
4,1,0,50.98874304221712,6,8,0,0
4,2,0,49.12277154289104,6,8,0,0
4,3,0,51.04520120773457,6,8,0,0
4,4,0,51.45216369596409,6,8,0,0
4,5,0,51.21177354728996,6,8,0,0
4,6,0,49.72025855395998,6,8,0,0
4,7,0,48.73770726208999,6,8,0,0
4,8,0,52.03578327776653,6,8,0,0
4,9,1,55.32073744601456,6,8,0,0
5,0,0,53.798935728389054,1,9,1,1
5,1,0,53.15790484851586,1,9,1,1
5,2,0,48.87442117461316,1,9,1,1
5,3,0,51.84736305287622,1,9,1,1
5,4,0,54.97438470041386,1,9,1,1
5,5,0,53.50724923012548,1,9,1,1
