school_id,academic_year,e_learning_implemented,average_test_score,average_class_size,school_funding,urban_location,high_school_level
1,0,0,45.71931995857825,6,9,1,1
1,1,0,47.52374836303493,6,9,1,1
1,2,0,47.83655139942847,6,9,1,1
1,3,0,48.34266158748264,6,9,1,1
1,4,1,51.9877485142361,6,9,1,1
1,5,1,56.71201648882662,6,9,1,1
1,6,1,56.417439582665935,6,9,1,1
1,7,1,54.624949181030495,6,9,1,1
1,8,1,56.42615967202035,6,9,1,1
1,9,1,55.0575867383353,6,9,1,1
2,0,0,48.56523740029824,4,9,0,1
2,1,0,48.90564975759949,4,9,0,1
2,2,0,48.18874770141876,4,9,0,1
2,3,0,48.04782705188629,4,9,0,1
2,4,0,44.695146934188095,4,9,0,1
2,5,0,49.112326969132006,4,9,0,1
2,6,0,46.93170426149978,4,9,0,1
2,7,0,46.72882948451437,4,9,0,1
2,8,0,48.44451396275692,4,9,0,1
2,9,1,58.82024299721764,4,9,0,1
3,0,0,48.33355142265353,2,12,1,1
3,1,0,48.22598252342097,2,12,1,1
3,2,0,48.03292541834466,2,12,1,1
3,3,1,56.655468454905055,2,12,1,1
3,4,1,52.57285060961201,2,12,1,1
3,5,1,57.81261736585508,2,12,1,1
3,6,1,54.98894151685941,2,12,1,1
3,7,1,56.7498865710232,2,12,1,1
3,8,1,57.02876652906653,2,12,1,1
3,9,1,55.81627143049381,2,12,1,1
4,0,0,44.49105755739763,3,11,1,1
4,1,0,46.91236893061533,3,11,1,1
4,2,0,46.444561413416224,3,11,1,1
4,3,0,49.26373801654229,3,11,1,1
4,4,0,43.01623451985907,3,11,1,1
4,5,0,47.42011464856177,3,11,1,1
4,6,0,45.2365775328479,3,11,1,1
4,7,0,45.19074638638397,3,11,1,1
4,8,0,46.67860185410117,3,11,1,1
4,9,0,45.95743372433135,3,11,1,1
5,0,0,43.73050105078456,5,10,1,0
5,1,0,46.56669236905313,5,10,1,0
5,2,1,53.50447980932079,5,10,1,0
5,3,1,55.17172852078973,5,10,1,0
5,4,1,50.17064226583315,5,10,1,0
5,5,1,54.53733570368345,5,10,1,0
5,6,1,51.50407369132187,5,10,1,0
5,7,1,54.79903463459583,5,10,1,0
5,8,1,53.3699181823829,5,10,1,0
