student_age,parent_education,school_quality,gender,minority_status,low_income_status,tutor_availability,tutoring_hours,academic_performance
7,31,5,1,1,0,8,38,163.7049545956672
8,29,7,0,0,1,8,37,155.40614344682996
5,31,9,0,0,0,7,38,163.2177937122811
9,26,5,1,1,1,7,37,158.5056443459245
8,32,7,0,0,0,8,38,161.1848626807082
8,37,12,1,0,1,11,42,176.8212470788864
5,23,6,1,0,1,7,35,155.66282388075248
13,28,10,0,0,1,4,37,162.4760721456501
10,26,4,0,0,0,5,35,149.6534664291852
11,29,7,0,0,1,11,41,173.38393639093462
6,26,8,1,0,0,10,40,176.71280934535952
11,27,6,0,1,0,8,41,173.29156647824593
8,28,12,1,1,1,8,37,163.03477054715302
11,28,8,0,1,0,7,39,167.33747576512334
9,32,2,0,1,0,6,37,153.3690408053526
4,32,10,0,0,1,4,37,163.46128953979274
11,30,3,1,1,0,4,36,151.2183665869591
7,29,14,0,1,1,9,40,170.25670643923908
7,29,15,1,1,1,6,38,166.40094596959926
11,26,2,1,1,0,9,38,156.57972724892218
14,29,6,0,0,1,9,42,172.90470520048487
8,32,10,0,0,0,12,41,172.7143127426838
11,33,10,1,0,1,9,40,167.51857490357486
10,30,10,1,1,0,9,41,174.80244785263875
10,28,9,1,1,0,10,41,178.12438403818234
13,29,7,1,1,0,7,40,168.32709197467054
9,31,3,1,0,1,8,40,167.09772447922185
10,33,8,0,1,0,8,38,160.3095490443685
6,29,11,0,1,0,8,37,161.63715910565412
8,29,13,1,1,0,8,37,163.28639835684444
9,29,8,0,1,1,10,40,170.08231049134247
8,29,16,1,0,1,7,39,170.33424321046044
8,25,10,0,0,1,7,37,163.11686900692737
10,34,10,0,1,1,8,41,171.09303618178862
6,29,9,0,0,0,6,39,171.3564395767838
11,31,10,1,0,0,10,43,181.49965368999852
14,33,4,1,1,0,8,41,169.21845126131322
7,31,4,1,1,0,8,40,166.03698190276305
14,29,6,1,0,1,12,42,174.49986929600044
7,27,5,1,1,0,12,41,174.34774275068827
11,30,6,0,1,1,7,39,161.8618322971139
15,34,8,0,1,0,8,41,168.10947570651408
14,27,5,1,1,1,9,42,176.38184935033055
10,27,3,0,1,0,6,38,155.69956058599382
8,29,11,1,1,1,9,40,173.27176714619452
7,32,1,1,0,1,6,36,149.4436827562388
10,32,4,0,0,1,8,40,168.51763485500467
8,28,5,1,1,1,10,41,171.4595925147328
13,30,7,1,0,0,6,39,166.3305040217699
7,32,6,1,0,1,9,39,164.7868671731072
15,28,11,1,1,0,11,41,170.13729837978175
7,29,10,0,1,1,11,39,165.82634358043623
11,29,4,1,0,0,11,40,166.4286233754433
7,30,9,1,0,0,9,39,170.94807009793317
13,26,3,0,1,0,9,41,170.07507911011552
8,28,11,1,0,1,10,40,174.0148049856477
14,32,11,0,1,0,8,40,168.7458373440759
9,28,9,1,0,0,11,40,171.8012684375587
8,27,2,0,1,0,11,40,169.2210533864084
9,31,5,1,0,1,8,41,172.7707399863797
11,29,7,1,0,1,9,41,171.0323588375257
18,33,12,0,1,1,9,41,167.5426759159521
10,28,5,1,0,1,10,41,172.52424734063385
9,32,11,1,0,1,6,37,160.57893946077346
12,28,5,1,1,0,7,38,159.16701459642104
7,26,6,1,1,0,9,39,169.56581925295677
11,32,5,0,0,1,8,42,170.88910433210867
13,31,2,1,0,0,9,44,180.3312458530951
7,29,4,1,0,1,6,37,158.12161989847664
12,29,8,1,1,0,7,39,163.6689072775873
10,33,1,1,0,1,8,41,167.53625526602156
10,32,5,0,1,1,7,38,158.07314470632198
10,31,6,1,1,0,10,42,175.07295171805873
13,29,5,0,1,1,5,37,152.33602835693296
5,28,9,1,1,1,7,37,161.34615563553277
9,30,10,1,0,1,9,41,176.21638142497025
11,31,13,0,0,1,8,39,164.3221238102366
7,30,7,1,1,0,10,40,167.99227755721168
12,27,2,0,0,1,8,40,165.43902809923125
10,28,5,0,0,1,7,39,165.99980780222052
11,28,9,0,0,0,10,41,175.8806055516558
11,28,9,0,1,1,7,38,160.66539892359933
8,30,11,0,1,1,5,39,168.35384542702246
11,28,7,0,1,1,7,39,166.30635906980473
9,33,12,1,1,1,7,42,181.13424587050204
9,32,5,0,0,1,8,41,172.6768885620845
11,27,5,1,1,1,6,35,149.65326065986702
13,28,9,1,1,1,11,40,168.19353005741144
7,29,4,0,1,0,10,40,166.62755221025265
6,25,14,0,0,0,11,38,170.07551940207938
4,30,12,1,1,1,11,40,174.35251872308962
6,32,7,1,0,1,11,41,173.1923692400706
9,31,11,1,0,1,8,39,169.08287943035
10,29,3,0,0,1,8,37,156.22473132633883
7,26,10,1,1,1,8,36,157.86834033018687
12,30,6,1,1,1,7,41,172.60784394892215
10,30,8,1,1,1,7,38,163.69972396275244
10,34,8,0,0,0,9,40,166.5394046113771
8,27,10,0,1,1,7,39,167.2515933380251
11,30,9,1,1,0,9,38,160.75522982564448
11,30,9,0,1,0,8,38,163.53550205231846
11,29,7,1,0,1,10,38,160.06535024329762
12,31,2,1,0,1,9,40,164.87074231671394
12,27,4,1,0,0,7,38,158.43961326586535
6,30,10,1,1,1,4,33,147.802782878717
9,30,3,1,1,0,7,41,169.2363912987827
7,31,9,1,1,0,9,40,171.6995023126709
5,32,6,0,1,0,10,39,163.66684520597897
10,29,1,0,0,0,12,42,170.81882261901666
6,27,4,0,1,1,8,38,166.1064477279511
9,29,10,1,0,0,6,37,161.11117214670074
8,28,6,0,1,1,9,37,157.6498843855332
11,27,3,0,0,1,9,38,158.16917338701828
9,25,7,1,0,1,9,39,171.20073693101304
8,27,4,0,1,1,6,38,160.31979543236696
4,27,5,1,1,0,7,35,155.03328320245208
9,27,7,1,0,0,10,38,165.95901882279549
6,30,11,0,0,0,9,38,164.16441760230128
12,27,9,1,0,0,8,38,160.660813732339
14,28,12,1,1,0,8,37,156.598918669268
9,27,4,1,1,1,10,40,167.55915289368568
13,33,12,0,1,0,7,40,167.487694510121
10,32,12,0,1,1,10,41,173.55218802101115
8,27,9,1,1,1,5,35,155.79408878082464
14,29,11,1,1,0,4,37,160.39142431786846
13,26,9,0,1,1,9,40,170.63929466276107
2,31,8,1,0,1,4,34,153.7016845625434
12,29,4,0,1,1,10,43,175.3594018497882
12,33,9,0,1,0,8,39,162.63482676121473
6,32,10,0,0,1,12,39,169.01422336166345
16,33,4,1,0,0,13,44,178.17511975872165
8,27,5,1,0,0,6,35,153.87968669797718
13,31,6,1,0,0,9,42,173.9389980419672
9,34,6,0,1,1,10,41,172.14991965327863
3,32,11,0,1,1,7,38,165.68162313136148
4,30,4,1,0,0,12,37,160.08956295892827
11,28,5,0,1,0,9,42,174.95249086583516
10,30,11,0,0,1,6,38,163.0737588486151
12,31,9,0,0,1,5,38,158.00286426044266
10,27,9,0,1,1,11,42,177.3977205769669
9,31,7,1,0,0,8,38,161.59894869052744
14,28,10,1,1,1,8,41,173.3470515581518
14,30,9,0,0,1,7,40,168.45555117702062
13,30,3,1,0,1,10,40,165.75049205626752
5,29,5,1,1,0,10,38,161.33649278780686
8,31,12,0,1,1,8,39,165.93608685932895
6,29,9,1,1,1,11,42,179.48173880325606
10,29,3,1,1,1,8,40,167.3224588132592
8,28,6,0,1,1,11,41,170.60647876868674
12,35,4,1,1,1,9,41,166.1511702714855
11,30,6,1,0,1,9,42,181.141747432682
8,28,3,1,0,0,9,40,170.57646810819762
10,26,10,1,1,0,6,40,174.90406859228608
11,29,10,0,0,0,10,40,169.8481274029118
9,29,12,1,0,0,8,37,161.0918860663857
5,29,6,0,1,1,11,40,166.5700884608481
8,32,6,1,0,0,10,38,160.9200932117741
6,30,5,1,1,1,11,40,171.333550585035
12,26,6,1,1,1,5,39,167.18600940093762
5,30,13,1,0,0,10,37,163.80055757961884
7,29,7,1,0,0,8,38,162.77842680435424
8,32,8,0,1,0,5,40,170.9464811553886
9,31,10,1,0,1,6,40,171.77964509772647
11,30,9,0,0,1,9,40,166.69532817822477
5,28,8,1,0,1,9,35,154.18253793268184
10,30,12,1,1,0,8,37,159.712836943544
14,35,8,0,0,0,10,41,167.41105982321977
10,27,7,0,0,1,12,41,174.18267411670064
10,28,13,0,1,1,11,40,170.76663022086078
6,30,7,1,1,0,9,36,156.6761119922494
13,29,8,0,1,0,7,41,171.27209604595762
7,33,5,0,1,0,11,42,176.3621022051364
12,26,5,0,1,1,8,40,168.71190827929323
