candidate_age,experience_years,campaign_spending,female_candidate,minority_candidate,incumbent_candidate,social_media_campaign,election_won
41,6,4,1,1,1,1,33.91991058056916
32,31,13,0,0,1,0,13.810606267073531
39,23,11,1,0,0,1,20.138290211510352
29,14,6,0,0,1,1,30.684759475522664
26,31,12,1,0,0,0,16.027956437893565
30,5,9,0,0,0,0,30.674294886298004
30,11,11,0,0,0,0,25.865178564948
36,24,9,0,0,1,1,22.899983766318503
23,19,8,1,0,0,0,25.797357168375864
36,21,6,1,0,0,1,24.930141030336948
14,17,10,0,1,1,0,25.94256117254426
26,13,5,0,0,1,0,30.3074567337571
21,13,13,0,1,1,0,22.94535370039877
37,15,10,0,1,0,1,23.72763827357988
19,23,9,1,0,1,0,24.53335741826642
19,21,6,0,0,0,0,27.979236384248747
40,2,10,0,0,1,1,28.43145603877336
34,9,5,1,0,1,1,31.20349528581253
17,27,9,1,0,1,0,24.302699646080328
21,13,11,0,0,1,1,28.97173676608813
22,28,11,0,0,0,0,18.645372586452904
19,27,11,0,0,1,0,19.810663415958704
35,23,10,0,0,0,1,20.24688342650765
32,18,4,0,0,0,0,29.660574565752555
18,17,7,0,0,1,0,27.38036102644704
30,16,6,0,0,1,0,26.68623624373019
37,10,9,0,0,1,0,27.824002058295516
33,13,12,0,0,0,1,24.738955741872893
20,22,13,0,0,1,1,22.604266080323725
29,14,15,1,0,0,1,21.952468800758297
20,18,8,0,1,1,0,26.990293439857744
29,24,9,0,0,0,0,22.46459921969103
19,21,5,1,0,1,0,29.01489369634732
30,18,9,0,1,0,1,26.67046127139849
32,9,7,1,0,0,1,32.21932365912055
29,21,17,0,0,1,1,14.689655037532424
22,22,8,0,0,0,0,25.96240342931489
40,17,17,0,0,0,1,14.712441197174096
33,14,10,0,0,0,1,25.16851808261829
42,12,11,0,1,0,1,23.44418104742392
29,21,11,0,1,0,0,21.828902559413645
34,21,9,0,0,1,1,22.20916157093754
32,24,6,0,0,0,0,24.44984832675449
30,21,15,0,0,1,1,18.360893191352258
25,11,8,0,0,0,0,29.290215364431127
5,21,13,1,0,1,0,25.28373482365642
29,21,8,0,0,0,1,26.63666133649387
32,18,11,0,0,0,1,22.892784726703308
