recipient_age,monthly_income,is_homeowner,has_dependents,lives_in_rural_area,received_subsidy,housing_stability
36,18,1,0,1,1,94.35376730033008
22,22,0,1,1,0,81.16089965241603
20,22,0,0,0,1,82.80594909358913
33,25,0,1,0,0,90.50695898873484
26,28,0,0,1,0,87.6626673707897
11,26,1,0,0,0,74.98999124720889
31,27,0,0,0,0,91.39770885733608
35,29,1,0,0,1,98.6232095485146
21,24,1,0,0,1,86.51559883301357
14,20,0,0,0,1,75.75356604842979
29,21,0,1,0,0,85.4244070268356
36,21,1,0,1,1,96.5199604453322
16,24,0,1,0,0,76.73799018803487
20,10,0,0,0,0,68.94233628811409
28,18,0,0,1,1,85.1053481587382
21,24,0,1,0,1,84.93006118439547
25,27,0,0,0,0,84.71767737634966
33,25,0,1,0,1,95.5735751524286
6,20,1,0,0,1,70.75180709558012
38,16,1,0,1,1,93.4084184252
33,22,1,0,1,0,89.81374358300694
28,26,0,0,0,1,88.0192834337822
31,30,0,0,1,1,95.80081051551232
16,23,0,1,1,1,78.45208027221338
22,27,1,0,0,1,88.3542301348666
31,25,0,1,0,0,89.36506643149447
11,18,1,0,0,1,75.10822601163014
18,23,1,1,1,0,79.33217947244
20,19,1,1,1,0,78.63305484987286
17,16,1,1,1,0,73.14597323574992
26,25,1,0,1,0,87.89709649268804
26,28,0,0,0,0,88.70669300584859
26,16,0,0,1,0,77.41389441584951
3,28,0,1,0,1,74.81169631148445
21,27,1,0,0,0,82.93728378433927
23,27,0,0,0,0,82.7975207131876
17,24,0,0,0,1,81.53837791199182
36,21,1,1,0,0,91.73180237762207
17,13,1,0,0,1,74.51419410798384
14,26,0,0,1,1,79.18305274760078
32,23,0,0,0,0,86.68653947437826
14,25,1,0,0,0,75.17320302523079
17,23,0,0,0,0,75.4901653609927
27,26,0,1,0,0,85.70372720269701
12,20,0,1,0,1,75.63194526281964
8,21,1,0,0,1,71.61759439437725
30,25,0,0,1,0,87.99962606525254
42,23,0,0,0,0,95.7647885795718
24,16,0,1,0,1,83.77211966557458
22,23,0,1,0,0,81.33290062015026
36,28,0,0,1,0,93.94711825163904
20,23,1,0,0,0,79.58315088002793
20,27,1,1,0,1,87.16172906380936
24,24,0,0,0,1,86.24777916605616
17,20,0,0,0,0,74.96448039006857
31,29,0,0,1,1,95.38053720952377
40,22,1,0,1,1,99.26048902529948
24,27,1,0,1,0,86.93390500287083
4,22,1,1,0,1,71.87193968445938
15,24,1,1,1,0,75.90562275492343
31,25,1,0,0,0,89.15627139742044
16,18,1,0,1,0,73.40140142332594
19,33,0,0,0,0,86.01597807919353
18,17,0,0,1,0,73.0022992395508
22,25,0,1,1,0,82.89746450714854
18,28,1,1,0,0,80.88254844398983
20,20,0,1,1,0,78.7734198720155
27,23,0,0,1,0,84.80844098396939
24,20,0,0,0,0,78.82083462728677
28,31,0,1,1,0,93.18995381015314
9,15,0,0,0,0,65.51163994760978
0,23,1,0,0,1,69.39879764373046
17,36,0,0,1,0,85.1248556784971
28,26,0,1,1,1,91.0392407702674
19,27,1,0,0,1,87.5355443296577
26,18,0,1,0,1,83.08567457400324
16,30,0,1,0,1,84.21512355415841
20,27,0,0,0,0,82.12682257280824
24,24,0,0,0,1,86.61546257264567
26,23,0,1,0,1,89.07335054826311
28,25,1,0,0,0,86.27103166562345
-1,14,1,1,0,1,64.14547328576438
20,23,0,0,0,1,82.45579358323891
11,30,0,0,1,1,81.13894439171115
17,19,1,0,1,1,80.44274990925862
23,28,0,1,0,1,87.97899774951438
14,13,1,0,0,0,69.63714533855905
18,21,0,0,0,1,80.3388660815895
32,20,0,0,0,0,86.79477867229888
27,25,0,0,1,1,89.489118538193
21,21,1,0,0,0,81.6033026459019
24,30,0,1,1,1,91.02827537130442
35,29,0,1,0,0,96.08207224687716
19,27,1,0,0,0,81.31727763939148
39,23,1,0,0,0,92.63758688706574
21,21,0,0,0,0,78.7520722781771
2,20,0,1,0,0,65.28239181953147
23,26,0,1,0,1,84.96636585899485
27,21,1,0,0,0,83.96077447798208
18,24,1,1,0,1,83.1391972094132
31,33,0,1,1,1,98.21194928074452
20,22,1,0,0,0,79.21486933449152
30,23,1,0,0,1,93.026855270248
21,22,0,0,1,1,85.57476179321041
0,27,1,0,0,1,70.36061682930085
34,17,0,0,1,1,90.18970761463704
47,23,0,1,1,1,103.61514427668445
10,21,0,0,0,0,70.0829504622914
22,26,1,1,1,1,89.18343482807948
20,25,0,0,0,0,79.98937297319524
14,30,1,0,0,0,79.89311443181467
16,20,0,0,0,0,73.73117383823573
9,23,0,1,0,0,72.39880727670632
42,22,0,0,1,0,97.11225017364973
33,19,1,0,1,1,92.4220149408337
35,15,0,1,0,1,90.51002399528768
24,20,1,0,1,1,85.04719264536014
35,24,0,0,0,0,92.84792196321844
25,25,1,0,0,1,89.10930348647423
40,20,0,0,0,1,98.110199100006
22,22,0,1,1,0,81.19156361071303
20,21,0,1,1,0,79.91609950814711
31,22,0,1,0,1,92.23765374838204
29,28,1,0,0,0,90.38417692735442
44,30,0,0,1,1,106.8912040753301
34,28,0,1,0,0,92.22855325704144
3,24,0,0,1,1,69.70321189779496
13,19,1,1,1,1,77.08884041569468
15,15,1,0,0,0,71.03406618604673
36,21,0,0,1,0,90.91646338109632
29,23,1,0,1,1,91.85401813614104
11,22,1,0,0,0,72.46135147096336
36,27,0,1,1,1,97.06026950639072
24,25,1,0,1,0,84.2760962620233
30,21,1,1,0,1,90.93013846173396
13,19,1,1,1,1,77.78361639335102
13,25,0,0,0,1,79.10820766017746
18,19,0,1,0,0,76.58588299718453
25,23,0,0,1,0,83.65954804604768
42,21,0,0,0,0,93.3534881486504
41,27,1,0,1,0,98.59918695473094
3,25,0,1,0,1,72.23309082854615
24,22,0,0,1,0,81.97296723847859
24,23,0,0,0,1,85.83626371376248
29,28,0,1,0,0,89.78746251150238
30,23,1,1,0,0,87.4352136857861
30,28,1,0,0,1,94.42146004372756
31,29,0,0,0,1,94.3208389761606
8,25,0,1,1,1,74.60908585074753
12,22,0,1,0,1,76.2385103340991
37,27,0,0,0,0,95.48370029630594
39,18,1,1,0,1,93.66603682676936
34,31,0,1,1,0,95.8506463358276
24,27,1,1,1,1,90.30911150651232
28,20,0,0,0,0,81.3544260089128
19,21,0,0,0,1,81.5254216807319
30,22,1,1,0,0,86.06905954686565
20,17,1,0,0,1,80.81304997063503
17,23,1,1,0,0,76.6240529089291
46,19,1,1,1,1,101.90501952658296
36,26,1,0,1,0,94.89203918374196
27,22,0,0,0,0,84.88380205025655
-1,27,0,0,0,0,64.14346121947911
23,22,0,0,0,0,78.55954918182357
26,24,0,0,0,0,81.96416217411972
18,20,0,0,0,1,79.46900208925408
32,24,1,0,0,0,88.98957193368739
33,20,1,0,0,1,90.88906886950087
23,23,0,0,0,1,84.73796125193337
43,26,0,1,0,1,102.89531861184383
6,24,0,0,0,0,68.01557260122355
33,28,0,0,0,1,96.57313045773144
42,23,1,1,1,0,97.59482735290284
35,28,0,1,1,0,94.477416388319
5,14,0,1,0,1,66.91254962842648
14,18,0,0,0,1,74.25767160200226
5,23,0,0,0,1,71.83016730771705
45,27,0,1,0,1,104.18673063362408
19,17,0,1,0,0,73.37392090726014
20,25,1,0,0,1,83.55666986264718
22,23,0,0,1,1,85.13922175408683
12,25,0,0,0,1,78.0361398067144
20,24,0,1,1,0,80.21358518629201
38,16,0,0,0,1,91.87150455398768
25,20,1,0,0,0,82.87364077900777
7,22,0,0,0,1,72.11120137497481
40,21,0,0,0,1,98.41627004267968
22,21,0,0,0,1,84.21756382983635
38,21,1,0,0,0,94.11162107140792
23,23,1,0,0,1,85.71505044916034
18,23,0,1,1,0,78.43203978705014
11,16,1,1,0,1,72.08354446775878
24,23,0,0,0,1,84.64472510001703
31,25,1,1,0,0,89.2570004693657
8,23,0,1,0,0,71.91095955864674
25,17,1,0,1,0,80.30005309645709
19,23,1,0,1,0,78.91224454475712
21,22,1,0,1,0,81.61667680558516
21,21,0,0,0,0,76.90322083816376
42,19,0,1,0,1,97.63803459982556
14,22,1,0,1,1,80.67563459159717
20,31,0,0,0,0,83.70543345266536
18,21,0,0,0,1,80.86589446870748
39,25,1,1,0,1,99.59612794420016
26,20,0,0,0,1,85.91049933179946
29,29,0,0,1,0,88.28191021220695
44,21,0,1,0,0,96.17340937255884
20,22,1,0,0,1,83.72036084949205
32,24,0,1,1,1,93.13657926606972
26,30,0,0,0,1,92.07152228133768
24,26,0,0,1,0,85.2174099559787
21,24,0,0,0,0,80.77617297877111
43,22,0,0,0,0,97.6833201878632
22,27,0,1,0,0,85.12991599159288
41,27,0,0,0,0,96.3084678778624
32,20,0,1,0,1,91.22447400450883
28,23,1,1,0,0,87.13633812202937
39,30,1,0,1,0,97.86282623065014
38,24,1,0,0,0,94.09618542725164
35,28,0,1,0,1,98.64772670202068
10,21,0,1,1,0,69.8195245549725
35,20,0,0,0,1,90.64643503960244
39,26,0,0,0,1,98.02153676579614
37,24,1,1,1,0,93.82601083654713
17,23,1,1,0,0,78.23494809814517
30,24,0,0,0,0,87.36488126583593
9,22,1,0,0,1,74.72524990701494
39,23,1,0,0,0,95.21633644581884
35,24,1,0,1,0,92.06216861796004
11,19,0,0,0,0,71.35796340459659
35,24,0,0,0,1,95.33785707236838
13,18,1,0,1,0,71.6370740358552
45,16,1,0,0,1,97.7914279489672
34,22,0,1,1,1,94.18574930307548
14,19,0,1,1,1,76.04935161948485
17,27,0,0,0,0,79.14655304594459
16,27,0,0,0,0,79.06801784468479
27,22,0,0,0,0,84.53241896516904
22,26,1,0,1,0,84.27971703525331
37,21,0,1,0,0,91.83973304359296
26,28,1,0,0,1,91.17207291647742
39,22,1,0,0,0,93.23256120267487
32,26,0,0,0,1,93.08847269320896
5,25,0,0,1,1,74.1988927174308
43,21,0,0,1,1,99.7040094019752
33,24,0,0,0,1,93.61362539468207
35,22,0,1,1,1,94.06438509170616
26,19,1,0,0,1,83.76436557698422
22,21,0,0,1,1,82.73734880045939
12,24,0,0,1,0,74.12708948492603
20,19,0,1,0,1,81.75658777555782
15,28,1,0,1,0,77.65970988082358
18,23,0,0,0,0,78.42626527994646
16,20,1,1,1,1,80.06856397784448
12,18,0,1,0,1,72.03405784064105
39,32,1,1,0,0,101.94948606675594
22,23,0,0,0,0,78.94323734723346
9,31,0,0,0,0,76.80305231406001
28,21,1,0,0,1,88.62526654951597
27,21,1,0,0,0,83.90596419096252
2,27,0,0,0,0,67.85534546168941
32,26,0,0,1,0,90.8951738352822
21,21,0,1,1,0,78.87717738579626
13,26,0,0,1,0,77.27694346502368
18,28,0,0,0,1,85.61390977234963
25,19,0,1,1,1,84.3977152998421
40,20,0,0,0,1,95.00090014569524
26,27,1,0,1,1,90.93928097682335
28,27,1,0,1,1,91.95275779122431
29,18,0,1,0,1,88.9727421789475
-7,19,0,0,0,0,56.999305118433256
26,23,0,0,1,0,83.71636176666689
5,20,1,1,1,0,67.82256722322147
20,24,1,1,1,0,82.71580995386851
10,23,1,0,0,1,75.6646178636364
25,23,1,1,0,1,86.77082133501273
24,26,0,0,0,1,86.29283410288629
32,20,0,0,0,0,85.84826052171294
15,22,1,0,0,0,76.88610682467109
33,20,1,1,1,0,89.60303000809286
30,23,1,0,0,1,90.92328713617934
18,22,1,1,0,0,78.5446309732717
9,29,0,0,1,0,74.56764772832682
31,18,0,0,1,1,87.00534930344223
34,29,0,1,1,0,94.60974410080216
21,20,1,1,0,1,81.82878103936162
0,23,1,1,1,1,69.96068074278344
20,23,0,0,0,0,76.55080514182006
38,28,0,0,1,1,100.31890582485616
20,28,1,1,0,1,85.3430961356118
42,26,1,0,1,0,97.83979693711323
37,24,0,1,1,1,97.52597478578156
13,21,0,0,1,0,72.50745082942966
15,32,1,0,1,1,86.6917309646932
23,24,0,1,1,1,87.91629265911449
23,26,0,1,1,0,84.59314733352396
19,33,1,1,1,0,87.21000204120965
30,17,0,0,1,1,88.86447642853516
14,26,0,0,0,1,79.51911619540878
29,23,0,0,0,1,90.12841710571284
34,24,0,0,0,1,93.55535572632616
20,29,0,0,1,0,82.28903873615926
32,29,0,0,0,0,91.86785435660522
10,21,1,1,1,0,71.3080872239343
43,21,0,0,1,1,100.818176502769
14,24,0,0,1,0,75.60353528439865
26,21,1,0,1,1,86.59796515507796
31,10,1,0,1,1,85.11374161752711
42,27,1,0,0,1,101.7823368282739
25,27,0,0,0,0,84.42598736893895
43,27,1,0,1,1,103.91508468099228
38,27,0,1,1,0,96.8530967850285
42,25,0,0,0,1,100.75674370772283
11,23,1,0,1,1,77.96026031334523
22,24,0,1,0,1,85.06449814236576
21,23,1,1,0,1,84.18721110978963
26,23,0,1,0,0,84.73087385724432
41,20,1,1,0,1,96.75724158056656
32,24,0,1,1,1,92.84660240638264
26,19,0,0,0,0,81.13723537694001
18,24,0,0,0,0,77.51523213663137
36,19,1,0,0,0,89.5517568939224
23,30,0,0,0,0,85.49015040474944
20,22,1,1,1,0,80.08335255130754
16,15,1,0,1,0,71.54070308567447
26,17,0,0,1,0,78.98855357137087
24,27,0,0,0,0,84.18595645118782
10,19,0,0,0,0,67.13826988407835
12,20,0,1,1,1,76.22157297698452
19,23,1,1,0,1,83.30170945360821
10,29,1,0,0,0,75.72362413610544
43,27,1,0,0,0,99.52098239041776
33,23,1,0,0,1,92.64574070736722
16,27,1,1,0,1,82.26772076099455
6,26,0,0,0,0,72.3107253884205
24,16,1,0,0,0,79.4585775036909
20,20,0,0,0,0,77.08312828126424
17,23,1,0,0,1,81.96446758145342
34,22,1,0,0,1,95.11386962089728
5,21,0,0,0,0,65.8475897371149
35,21,1,0,1,0,89.97000138479187
21,20,0,1,0,1,81.94196898521538
29,27,1,1,0,1,94.3428722373144
21,26,1,0,0,0,82.01838129660108
26,23,0,0,0,1,86.33992011332211
22,22,0,1,0,1,84.70068804501396
29,18,1,0,1,1,87.5496837559087
18,27,0,1,1,1,84.32983962614374
24,29,0,0,0,1,90.03208257901875
20,28,1,0,0,1,86.07406287131856
18,25,0,0,1,1,84.60259553281017
41,31,1,0,0,1,103.15909289530974
24,18,0,0,0,1,83.9941165984664
28,25,1,0,1,0,87.04313569436721
33,29,0,1,0,0,94.28505907002494
45,23,1,0,1,0,98.51504128883327
29,24,0,1,0,1,90.3544531046757
20,23,1,0,0,1,83.86541001338684
20,18,0,0,1,0,75.7038444226305
14,23,0,0,0,0,73.55884323994032
16,23,0,0,0,1,78.48611402229199
26,22,1,1,0,1,88.8806966133398
33,28,0,1,0,0,93.45397833799552
25,22,1,0,0,1,84.41733239531041
20,17,0,1,0,0,75.45155967699942
33,30,1,0,1,0,94.79086674586976
21,29,1,1,1,1,87.96999414789312
8,19,0,1,0,1,72.13157532343035
21,27,0,1,0,0,80.9473339660643
6,22,0,1,0,1,72.76431434443325
31,21,0,0,1,1,92.28024231155226
39,19,1,1,1,1,96.02670276905924
29,31,0,0,0,0,89.30393374278161
16,18,1,0,1,0,72.98304759186708
31,22,1,0,1,1,92.69280199703805
32,20,1,0,0,1,91.66122509741923
17,23,0,0,0,1,79.57150763319154
13,25,1,0,1,0,77.57740649960013
31,26,0,0,1,1,93.09441455735455
32,21,1,0,0,0,85.98797801765497
14,25,0,1,0,1,80.89267774299341
33,22,1,1,1,1,94.68066172825148
14,24,1,0,0,0,75.8700468354824
14,24,0,1,0,1,78.95913310320407
23,27,0,0,1,1,88.28671193758196
3,23,0,0,1,0,66.13767942763256
34,27,0,0,0,1,94.2678555195478
21,17,1,0,0,1,80.53908423300429
12,31,0,0,0,0,79.40208118662248
30,23,0,1,0,0,85.9631532768588
14,25,0,0,0,0,74.99245392559251
12,33,0,1,1,0,82.32013432311605
33,24,0,0,1,0,89.29878967208192
24,21,0,0,0,0,81.2530677675477
41,27,1,1,0,0,98.70731284475325
22,25,0,1,1,1,85.82999369930761
10,24,1,1,0,0,73.65510001877762
20,29,0,1,0,1,85.73525562738473
20,19,1,1,1,1,82.17679091832854
35,26,0,0,0,0,91.01975198583476
41,30,1,1,0,1,103.9639392211765
46,28,0,0,0,0,99.90992248285892
21,21,0,0,0,0,78.3433721948033
10,20,0,1,0,1,73.52106296017224
42,21,0,0,0,1,99.68486241129597
21,28,0,0,1,0,84.4629382804831
32,29,1,1,1,0,92.62248930579484
19,26,0,1,0,1,84.28890632791925
13,18,1,0,0,1,74.03547594356286
22,23,1,1,0,1,85.49581013472519
23,30,1,0,0,0,86.59403077938757
39,18,0,0,0,0,89.22910563250024
34,22,0,1,1,1,93.11166426266928
27,27,1,0,0,0,88.65688870438349
11,15,1,0,1,1,73.35443771365415
18,27,0,0,0,0,80.40433861014995
22,24,0,1,0,0,81.31827364429154
10,29,1,0,1,1,78.80472265273153
32,18,0,0,0,1,87.77691081497177
11,20,0,0,0,1,73.49516379015965
21,19,1,0,0,0,77.18436214085338
9,23,1,0,0,1,75.54939670635466
29,20,0,0,0,1,87.96430536294577
40,28,0,0,1,1,103.43723460880588
25,21,1,0,1,1,86.90086237707584
32,20,0,0,1,1,89.92568862611137
24,27,0,0,0,1,88.06300720279975
34,29,1,0,0,0,95.02816753891832
21,21,1,0,0,1,83.22603013188927
8,25,0,0,1,1,75.28085955333222
28,21,1,1,0,0,84.42751988308719
27,21,1,0,0,0,83.62816009744853
29,33,1,0,1,0,93.28738343441572
31,11,1,0,0,0,82.14319560059694
32,18,0,0,0,0,84.21031084739609
22,23,0,1,1,1,84.93120643010653
21,24,0,0,1,0,79.37123889885737
46,19,0,0,0,0,95.11148497116328
12,19,0,1,0,0,72.22266248308597
20,18,0,0,1,1,80.12874414718539
27,31,0,0,0,1,94.33232205812158
44,15,1,0,1,1,96.91508015791344
17,22,0,0,1,0,76.67686349766447
26,21,0,0,0,0,80.3771445610913
37,30,1,1,1,1,102.2297453081289
21,31,1,0,1,0,86.70582044738347
10,19,0,0,0,0,69.77092974552961
12,22,1,0,1,0,74.61527587401257
33,32,0,0,1,1,99.24640673280736
38,30,1,0,1,0,99.1587589692154
34,25,1,0,0,0,90.39548115364396
3,22,1,0,0,0,65.82845004674235
12,11,1,0,0,0,65.69262608725984
