student_age,parent_education_level,low_income_status,gender,pre_program_gpa,program_participation,post_program_gpa
7,5,0,1,11.840028740895752,0,7.220672766871987
10,7,1,1,11.862897729121617,0,6.5351591945347085
1,5,0,0,12.448560562992684,0,8.450861411421767
-1,4,0,1,12.818976845261316,0,8.412250002676224
9,4,1,1,14.513379080868017,1,11.371898203096038
14,5,1,1,13.582707273403152,1,10.752393528062893
11,5,1,0,14.354834077511088,1,11.213227440474808
6,3,0,1,13.827591319544824,1,11.534795613123215
6,7,0,0,13.054539228690528,1,9.81519382
5,5,1,0,11.04918596626283,0,5.527785779467423
6,6,1,1,11.57690992333389,0,6.468591555122045
6,6,1,0,10.733598207467896,0,5.80560639
7,7,0,0,8.422628083638429,0,1.3725207413616305
3,6,1,1,9.827555049842324,0,3.254742818283372
8,6,1,1,15.195404717949216,1,11.894596558173845
7,5,0,0,12.627969448766436,0,7.985954395631373
1,4,0,0,13.821974504615373,1,10.72762788292988
2,4,1,1,16.063990255867235,1,12.58038660034493
11,5,0,0,15.939321835117935,1,11.865477781096937
7,5,1,0,13.91398038335234,1,10.802853298689636
5,6,0,1,14.536365443466895,1,11.365418615829231
8,6,1,0,18.91269428722077,1,15.304909687068225
4,5,1,0,13.88931093924337,1,11.411579556525949
8,4,1,0,11.435491042153435,0,6.129960164705825
7,5,1,1,11.823684823998729,0,5.885928365033358
9,6,0,0,14.094818845905156,1,11.145246735883516
8,7,1,0,11.322723438232996,0,6.228506709801763
10,5,0,0,11.552643211843844,0,6.546490877012706
7,6,1,1,12.705379222715113,0,7.719818906183609
13,6,1,1,11.33497259764816,0,6.508006227
8,6,0,1,12.534595462248394,0,7.048951936984479
11,3,1,1,11.405957905940406,0,6.270278495964693
8,5,1,0,14.324933623909375,1,10.983383459204456
9,4,0,0,10.47716829441591,0,5.868316819289712
12,5,0,0,15.405717781767994,1,12.447448692066835
7,4,1,1,13.300296241354893,1,10.03500664851798
6,6,1,1,13.716461064611646,1,10.03425334343965
8,5,0,1,13.69672610809223,1,10.923124776744682
8,5,1,0,14.64010735187224,1,11.851331905835364
11,5,1,1,13.756948702410943,1,10.564090357601424
7,5,1,1,14.163954992459656,1,11.766159088492136
10,7,0,0,12.303770764556038,0,7.632887718
12,4,0,0,15.567117647720403,1,12.57049242444208
10,9,0,1,11.59934482949736,0,6.027320772635883
9,2,0,1,14.136695915100224,1,11.937809278135267
11,7,0,0,10.232215258681062,0,4.425939901
10,6,1,0,13.92137773465315,1,10.900078387736688
3,5,1,0,11.592426606682965,0,6.078463053655625
11,6,0,1,11.747491761942948,0,6.512102901261303
3,7,1,1,12.356121734442208,0,7.538744951529695
2,5,1,0,13.750314757974769,1,10.038179909256456
9,7,0,0,12.894315512404065,0,8.562188067698939
7,5,1,1,9.819524526,0,3.996833421439521
10,6,1,1,11.062642382755794,0,4.960726024404495
7,7,0,0,15.684603424463493,1,12.185313845007194
10,5,0,1,15.29286338482636,1,11.726648080274106
8,6,1,0,17.279679371087187,1,13.322485714504488
3,5,1,0,12.164351567578583,0,7.449442248792188
10,7,1,0,15.451174021579616,1,10.699262836719786
6,3,0,1,11.054478653790673,0,6.024150535798385
7,5,0,1,14.53155034563554,1,12.135773277926807
6,7,0,0,10.483363510558114,0,4.717512290290215
9,6,1,1,12.88766217521887,0,8.111535790104007
11,3,1,0,12.859187960452292,0,9.009727547
5,6,1,1,10.358567876661878,0,5.105692211
14,5,1,1,11.61621221825966,0,6.988714105890264
6,8,1,0,15.33129372587861,1,11.28265465401371
12,5,1,0,15.79959112566538,1,12.035286866687104
8,5,0,1,12.23691839974099,0,7.795071467116888
4,5,0,1,15.089329331149075,1,11.468770575563234
4,6,1,0,11.921949057854972,0,7.3430851355095745
12,3,1,0,13.918243129333666,1,11.60770745285754
3,5,0,1,15.815052458212444,1,11.488164023925478
9,4,1,0,13.21796316163734,1,10.448934542022643
12,5,0,0,14.864990158801929,1,11.117332907725176
8,5,1,0,13.53518747460908,1,10.311751330629788
5,6,1,1,12.520636486033764,0,7.543948528
6,5,1,0,11.371938922786976,0,5.701964194514005
8,6,0,0,15.004320972902445,1,10.927293468387758
5,5,1,1,14.021891343332609,1,11.274489098323883
1,6,0,0,11.369384371666827,0,6.196269006274708
10,6,0,0,14.498232141830442,1,11.18658226465733
4,5,1,0,12.17175787151348,0,6.130311435234532
10,5,0,0,10.921665137552209,0,6.532407532
6,7,0,0,12.004297332197453,0,7.481243278
9,6,1,1,10.33112434731855,0,3.994396022524156
9,4,0,0,11.35054073521324,0,6.531924652050735
5,5,0,1,11.052760911101364,0,5.790381339
10,7,1,1,13.83507289902822,1,9.696958331
13,6,0,1,12.713265062452331,0,9.292884259
14,3,0,0,14.085939334845582,1,10.759595787733138
4,6,0,1,15.152381920691704,1,11.82270274616266
9,6,1,0,13.933974306857715,1,11.168805307033006
6,5,0,1,15.958309271913445,1,12.191083021615835
11,6,0,1,14.846610919125563,1,12.02099260459314
0,6,0,0,13.797836251964476,1,10.374263874383134
9,4,0,1,14.039869506241354,1,12.56023925597091
10,5,0,0,12.03827055059011,0,7.314713976142657
6,5,0,0,14.626650572093158,1,11.901643100321014
5,7,1,0,11.092908980216832,0,4.629925318441302
10,7,1,0,10.889504638224723,0,5.153689448486043
11,4,0,0,15.479265884267736,1,11.940726176391689
9,4,1,0,13.02834014436119,1,10.285825956705262
7,4,1,0,14.091638593764436,1,11.079770858648205
8,5,0,1,12.621567397718986,0,7.801338983976797
4,5,1,0,11.29669866,0,6.985176539263072
8,5,0,1,12.893602663416416,0,8.279184432853784
6,5,1,0,11.640602107380374,0,7.396866776907052
10,5,0,0,11.29167444113174,0,5.565761793
7,7,0,0,13.720236422210318,1,10.297000514261915
5,8,0,0,10.716825687419975,0,3.939646442906383
6,3,0,1,11.548076120309108,0,8.537385662082968
14,5,1,1,10.08562984150793,0,4.610232830744494
11,4,1,1,12.592116928529844,0,6.921369330682602
6,5,0,0,11.306694223910764,0,6.819393394
10,4,1,0,17.38913030160058,1,13.546195408940276
11,6,0,0,12.98232043877296,0,8.236356195521099
4,4,1,1,12.01392883322216,0,7.335956147
8,6,1,0,11.649093446678195,0,7.564353996600442
9,5,1,1,14.249058055624412,1,11.265498881727437
8,5,1,1,11.40643082168154,0,6.64841091
5,6,0,0,14.458952300125643,1,10.841932216686034
9,5,1,0,12.310378199832016,0,7.958461554668992
8,6,0,1,12.75224547939045,0,8.068715804917737
8,4,0,1,15.716854352110214,1,12.010764279375916
13,7,0,0,12.664342204568449,0,7.721691806707204
16,4,0,0,12.52996701238486,0,7.711437883600586
6,5,1,1,10.815672144516531,0,5.1456151238759285
5,5,0,1,15.08871290962443,1,11.702479074794702
7,4,1,1,13.129553057877011,1,11.02291436695271
6,4,0,1,12.80343426324552,0,9.799879849
4,6,1,0,10.035400457789734,0,4.170739420805904
7,6,0,0,8.636323463596598,0,1.4437586671029186
8,5,0,1,14.569347226809157,1,11.64132017631439
7,5,0,1,10.974332828485078,0,6.169985336
13,7,0,0,12.356137621299007,0,6.857529825867944
7,4,1,1,13.980033161618309,1,10.995275740575602
6,5,0,1,12.890629927697034,0,8.568418031108125
9,7,0,0,10.921168000959284,0,4.564300432571005
8,7,1,1,16.077483592203933,1,10.850206394347923
6,6,0,1,11.96998433100268,0,6.893521604775563
5,5,1,0,11.231965535583964,0,5.769212220678194
4,6,0,0,12.270297870906743,0,7.614088615729353
6,3,1,0,11.565503468231569,0,7.163603029464114
9,7,0,0,11.270755663846282,0,5.098447765057394
7,7,1,0,12.16477360957198,0,6.330571145276073
4,5,1,0,10.256163113979117,0,4.944186913483261
6,4,1,1,12.981978791329007,0,8.572161976063972
6,3,1,0,13.034855456844264,1,10.684207805576031
1,5,0,0,11.354846522207083,0,6.925842032506508
5,4,0,0,10.876380447233778,0,5.977600322956048
6,7,1,0,11.080623905893958,0,5.3190301251502685
3,6,0,0,17.439357313698224,1,14.01338866322445
7,6,1,1,12.365303877487897,0,6.939600850852671
10,5,0,0,11.67088323217892,0,6.150873164437584
9,4,1,0,13.38061673366296,1,9.551118094721147
5,7,1,1,9.447773611,0,3.4264064294712213
2,5,1,1,16.561293557739646,1,13.107519754519307
6,6,1,1,14.167402678861905,1,10.302970109917556
8,5,0,1,16.293325911524306,1,12.338603768046648
11,4,1,1,13.541312359233965,1,10.636338506476276
4,6,1,0,10.06417317143632,0,3.7593256502953976
4,3,1,1,10.135131830515771,0,4.1547879237868095
8,5,1,1,16.92794225107219,1,13.85538217909271
11,6,0,1,10.690550303642144,0,5.371412956259297
9,5,0,0,15.131612700037252,1,11.683018000929131
5,6,0,1,12.02152474632688,0,6.680805646501788
2,6,0,1,11.764278743506374,0,6.540483883309172
6,6,0,0,11.759852088363791,0,7.157526292249199
8,5,1,1,11.217335664708136,0,6.649560755415234
8,6,0,0,12.454266532340013,0,7.838284995383989
8,2,0,0,14.739210618594075,1,11.840024443726234
7,6,1,1,15.219851789008802,1,12.281063361959802
9,4,0,1,12.711727070521558,0,7.831848583
3,5,1,1,14.719939103560764,1,10.851492003526191
10,4,1,1,8.246479300610247,0,1.8407188526031253
9,8,0,0,12.909341188410826,0,8.206070828286753
8,7,0,1,12.232314577880189,0,8.143725005288445
11,5,0,0,8.883190045523872,0,2.514934742016957
6,6,0,0,13.030598850530954,1,9.907286751183646
4,5,0,1,14.65269422786639,1,11.395813264456145
1,6,0,1,13.087301864505784,1,10.372754958255886
5,5,0,1,11.809660488313964,0,7.332588613984955
5,8,0,1,11.993778215060203,0,6.759465361567262
6,5,0,1,15.387980475109227,1,12.156310875948469
8,5,1,1,12.968270097510372,0,8.135137506848084
9,3,0,0,14.354656809554683,1,11.100958636021064
7,5,1,0,10.853790878754287,0,5.255577598458053
11,6,0,0,15.172962033037214,1,11.616910561577075
-2,5,0,0,13.41765956126232,1,10.86878936633139
3,6,1,0,13.57579804024051,1,10.501212444918448
12,8,1,0,11.92397028581306,0,6.297226563138493
10,7,0,1,11.235630201299038,0,6.012973027441541
11,6,1,1,14.022311348247678,1,10.336948369982371
10,5,1,0,16.547080404651435,1,12.690212585602698
8,7,1,0,11.931193374091222,0,7.356330562018973
2,4,0,0,11.125075842616967,0,6.321934160643854
6,6,0,0,12.476465920575684,0,7.823941664012411
6,7,0,1,12.748196890845389,0,6.930071260638352
10,8,0,1,12.516534406968685,0,9.070215270630404
9,4,0,0,15.387732594934342,1,12.180869131004911
2,6,0,0,17.506049064310485,1,13.967562719084302
10,4,0,1,9.505084814,0,3.664882362246967
9,5,1,1,13.86199204142473,1,10.691370577216734
5,7,1,0,15.487238178698195,1,11.31032005066981
5,3,1,1,11.777999761188555,0,7.500948993139344
6,7,1,0,15.239991701982822,1,11.691460672156882
10,7,0,0,10.16792428748421,0,3.935495601801468
10,5,1,1,11.68241316056214,0,6.072791559804887
7,5,0,0,13.685964876903306,1,10.788708939646758
7,4,0,0,13.957098285439846,1,11.149955529547556
10,4,0,1,15.70819868548142,1,12.621726446815105
12,7,0,0,13.704188013801597,1,9.519684072
7,7,0,0,14.411907448560257,1,11.54037384926366
9,4,0,1,14.70272716198307,1,11.919408048263664
8,5,1,0,10.789778265966902,0,4.955433871045569
5,6,0,0,11.608362527652774,0,6.865418222677125
10,5,1,1,14.739455534800737,1,11.096837177396043
7,6,0,0,15.894127955400805,1,12.125446922498844
8,8,0,0,15.426784739825877,1,11.055236132058852
13,6,0,0,12.309342358280183,0,7.461365103165355
5,4,1,1,11.581981222968178,0,6.902326061877517
6,3,0,1,10.961433231468934,0,5.441573797
4,6,0,0,11.34236713048086,0,6.308368024386484
9,5,0,0,10.02932201080792,0,3.7708810991223234
13,7,0,0,15.669207958076148,1,11.79064615129752
6,5,0,0,13.224792663429216,1,11.363262912012669
3,4,0,0,13.353273809165668,1,11.096554671505984
9,3,0,0,10.57974812217421,0,5.954559041340543
10,7,1,1,12.925082505954109,0,7.777729197316745
7,4,0,1,10.640558677244124,0,6.0158196514238185
13,6,0,0,13.713030216576534,1,10.28902290477706
9,4,1,0,10.892564291143405,0,5.682814888500697
5,7,1,0,11.534491488680844,0,5.923227733470662
7,3,0,1,12.170704728079125,0,7.729382739617992
13,6,1,0,10.167943866862426,0,5.252018214620184
14,7,1,1,12.566636616226813,0,7.256808912047134
4,5,0,0,10.944228236277844,0,5.323654182148875
13,6,0,1,15.223419821859894,1,11.619551168950142
10,3,1,0,12.60241420262453,0,8.365083799212524
10,5,0,0,13.800623864130324,1,10.26952848519215
0,5,1,1,11.117670266608112,0,5.0181929555290825
9,3,0,1,13.360608343689432,1,10.708648006757498
4,8,0,1,13.903894051525352,1,10.31968552237726
3,6,0,0,14.329341206299334,1,10.651558722907584
8,5,0,1,14.498185786549328,1,11.297736841021733
4,5,0,1,14.36933264089211,1,10.66787325211889
7,7,1,0,15.426339171969692,1,12.194639700663648
7,4,0,0,14.074346529655902,1,10.690892914664303
10,7,0,0,11.282987015464036,0,5.051984702504189
11,4,1,0,12.033393242207946,0,6.963899459543779
8,7,0,1,12.77970058037902,0,8.583998111
5,3,0,1,15.09004238077857,1,12.748360892287238
6,6,0,1,9.251771496,0,2.3176447156190974
6,7,0,0,15.129334580532705,1,11.221864688656638
9,9,1,1,10.425206500438982,0,4.499337630190583
14,6,0,0,14.912882899784483,1,11.409502782954055
10,3,1,1,13.790975196610196,1,10.96686064381473
4,5,0,0,13.008985135109445,1,10.226372904456944
3,5,0,0,13.185084276012596,1,11.321676078706194
5,6,1,0,15.59915642292696,1,11.779159739104283
5,7,0,0,12.173167797825284,0,7.267543176
9,4,0,0,15.109899622751245,1,12.40883466038813
9,5,1,1,10.364586432282412,0,4.3536664163607535
11,7,1,0,12.19827163,0,6.320363186336376
6,7,1,0,10.301377130493083,0,4.483743651910578
11,6,1,1,10.431057682526015,0,3.8970798289234008
8,6,1,1,12.890285517206657,0,8.435144298233125
11,6,1,0,13.779951325141344,1,9.749151052408791
10,3,1,0,14.596492568930216,1,11.557722557102029
5,5,0,0,12.635813985306775,0,8.072090516980898
14,6,0,0,14.230374620350284,1,10.128577831263652
8,5,0,1,14.96757209119336,1,11.678408576836292
7,7,0,1,12.530746757420804,0,7.806640461467629
6,5,1,1,15.020449948616962,1,11.693642496421548
3,4,1,0,13.07378632897959,1,10.37333922237563
12,4,0,1,17.460189008391655,1,14.427844932548467
7,5,0,1,15.43419593860776,1,12.44051664737149
3,7,0,1,10.246750470101054,0,5.419859751659235
9,7,0,0,12.02006696215446,0,7.4073645990246355
10,5,0,0,9.597125052370052,0,3.657867736970615
8,5,0,0,12.326538059978024,0,8.405959217954765
9,5,0,1,13.313752494356274,1,10.16054773442446
6,5,0,1,12.912150115949016,0,8.826181376274691
9,5,0,1,13.890910736927053,1,11.112912092991344
4,6,1,0,11.773573209628577,0,6.111708012448433
9,4,1,0,15.451205123615402,1,12.721737221343748
8,4,1,1,11.961623454173331,0,6.842523194590357
11,6,1,0,14.813139474625466,1,11.618790304805309
8,5,1,0,11.84843731053092,0,6.750042735824668
5,4,0,0,14.376662857981277,1,11.959729063309425
5,6,0,1,15.284738417680607,1,11.575069729156876
3,6,1,1,10.670853889336676,0,5.371939936146495
8,8,0,0,14.495022951560792,1,11.016723478610476
